,left,right
s0883,0,0
s0322,0,0
s0612,47408,42720
s1006,38886,40507
s0656,27489,18001
s0734,0,0
s0293,52296,49716
s1359,0,84187
s0022,41113,44335
s0911,0,0
s1176,0,0
s0122,37732,0
s1014,0,0
s0879,0,0
s0777,1944,36
s0808,3,0
s0137,35120,39847
s0838,0,0
s0156,0,0
s1223,44443,46784
s0259,0,0
s0310,46,0
s0030,41736,42304
s0810,0,0
s0600,65466,62372
s1004,0,0
s1368,46807,48237
s0703,62660,61567
s0312,0,0
s0620,52570,22117
s0072,37216,37409
s1332,0,0
s0056,0,0
s1238,61337,56289
s0677,0,0
s0057,0,0
s0959,31595,29787
s0379,0,0
s0062,77786,93328
s0083,0,0
s1049,0,0
s0069,0,0
s0719,0,0
s0372,0,0
s1196,0,0
s0499,3217,3306
s1233,36092,41403
s0461,46442,49660
s1182,0,0
s0296,0,0
s1208,41451,42688
s0763,49912,48633
s0266,0,0
s0568,0,0
s0971,63226,61611
s1380,40765,40143
s0572,0,0
s1215,0,0
s0079,0,0
s0095,53029,47489
s0671,0,0
s1011,0,0
s0621,48015,48674
s1395,45620,44262
s0985,38175,39853
s0972,0,0
s0697,0,0
s0001,18937,20533
s0447,36783,38548
s1394,54693,52282
s1012,56759,58894
s1043,0,0
s0878,45003,43599
s0560,0,0
s0903,0,0
s0859,57971,63435
s0354,9,0
s1291,38511,36196
s0303,0,0
s0774,127082,123899
s1226,0,0
s0436,40694,43848
s0435,0,0
s0775,0,0
s1221,0,0
s1035,0,0
s0543,62530,62087
s1350,15330,10914
s1058,0,0
s0487,0,0
s0805,0,0
s1289,0,0
s0956,0,0
s0791,0,0
s1024,41028,39998
s0768,33866,35039
s0492,0,0
s1070,38744,40507
s0898,0,0
s0894,52231,57459
s1128,43415,42621
s0441,48991,48321
s0925,0,0
s0172,0,0
s0443,50608,53289
s0067,0,0
s0255,37516,38318
s0664,47895,41686
s0871,0,0
s1243,0,0
s0473,49367,48755
s0050,35755,47045
s0240,0,0
s0778,53414,53230
s0530,0,0
s0085,0,0
s0414,0,0
s0316,0,0
s1252,127421,128445
s0470,0,0
s1305,0,0
s0065,46422,47060
s1156,71615,0
s1342,0,0
s0962,1969,2180
s1366,42883,41467
s0147,49785,48548
s1020,9191,19758
s0249,0,0
s1073,0,0
s0015,50327,50309
s0845,0,0
s0063,0,0
s1003,0,0
s0314,54126,56188
s0382,0,0
s0003,0,0
s0365,0,0
s0117,41360,36833
s0788,0,0
s0279,0,0
s0150,51867,46648
s1143,64208,63524
s0945,31795,31717
s0025,0,0
s1254,0,0
s0390,61951,56507
s0645,0,0
s0682,56447,55351
s0486,0,0
s0647,1578,1716
s1228,34842,37352
s0842,39427,48357
s0674,0,0
s0350,48446,49288
s1184,0,0
s0602,40077,35781
s1016,81274,68895
s1148,0,0
s0982,64207,78140
s0750,0,0
s0439,0,0
s0852,0,0
s0511,0,0
s0825,0,0
s0019,61116,55996
s0727,25087,20999
s0139,47183,46324
s1065,0,0
s0943,112203,111919
s0433,0,0
s0037,0,0
s0270,0,0
s0553,33630,31094
s1383,66048,63074
s1122,0,0
s0891,0,0
s0594,0,0
s1322,46297,45901
s0166,41320,40892
s0456,34218,34240
s0209,0,0
s1267,54799,53889
s0185,0,0
s0711,54210,53776
s0861,38219,39971
s1031,48501,48372
s1236,0,0
s0869,60230,58643
s0908,0,0
s0610,0,0
s0457,0,0
s0220,0,0
s0850,98159,0
s1036,0,0
s0472,35663,32394
s0330,0,0
s0402,50706,46374
s0163,47674,46708
s0752,0,0
s0576,0,0
s0601,47274,46397
s0029,11737,158
s0061,0,0
s0724,96451,97260
s0329,50891,54890
s1349,56868,53912
s0228,33401,32556
s0049,65350,70170
s0495,34447,34041
s0016,56524,52692
s1068,33341,39596
s0536,55911,59281
s0410,0,0
s0979,62269,60253
s1403,61308,61726
s0659,0,0
s0333,0,0
s1075,0,0
s0667,70910,69269
s0571,36498,35179
s1249,46649,47686
s0396,0,0
s0206,42512,38743
s0360,0,0
s0663,45981,42852
s0607,57622,61172
s0194,45108,40006
s1400,59384,59647
s1372,19872,0
s0032,0,0
s0606,0,0
s1220,0,0
s0490,0,0
s1201,0,0
s0532,0,0
s0994,63063,63590
s1235,0,0
s0334,47279,49231
s0527,0,0
s0890,0,0
s0921,52788,58433
s0822,0,0
s1093,0,0
s1344,37479,38139
s1317,0,0
s1261,0,0
s1257,0,0
s0961,43062,43962
s0865,0,0
s1241,0,0
s0102,0,0
s0400,0,0
s0846,0,0
s0339,33386,37301
s0031,49754,50911
s0884,55378,51509
s0583,30953,33581
s0327,58433,56367
s1039,0,0
s1227,0,0
s0713,0,0
s0477,35282,35664
s1174,62186,59974
s1347,48622,49320
s1225,52,0
s0549,59131,61665
s0510,2,0
s0821,0,0
s0958,0,0
s0353,0,0
s0227,27558,26945
s0922,0,0
s1259,0,0
s0355,67919,66800
s0564,40240,39312
s1268,0,0
s1158,0,0
s1021,0,0
s1044,61631,61840
s0801,56471,55516
s1224,53117,50995
s0124,54565,54411
s0099,0,0
s0224,64340,70734
s1056,0,0
s0238,37176,37975
s1079,0,0
s1316,0,0
s1240,0,0
s1377,52209,51962
s0398,0,0
s1055,0,0
s0681,0,0
s1034,0,0
s1050,64059,79215
s0392,0,0
s0157,42264,36555
s0784,0,0
s0746,50945,48120
s0831,192555,191549
s0709,0,0
s0806,69656,70182
s0773,0,0
s0578,33951,36134
s0589,36411,34783
s1190,0,0
s0311,37197,40581
s0346,0,0
s1157,0,0
s0830,61546,63399
s0650,52532,52063
s0425,138,0
s0639,43082,39326
s0874,0,0
s1207,28243,29573
s0804,39481,11650
s0111,0,0
s1250,0,0
s0676,0,0
s1001,0,0
s0636,31506,32307
s0963,38296,37347
s0092,26780,27513
s0212,53162,50617
s1046,48445,57358
s0190,35530,32640
s0074,45944,46510
s0744,0,0
s0595,0,0
s1115,0,0
s1337,0,0
s1067,0,0
s0548,71126,67586
s0832,0,0
s0154,0,0
s0901,0,0
s0219,0,0
s1397,54964,57427
s1281,0,0
s1375,0,0
s0968,0,0
s0669,60387,62186
s0247,0,0
s0105,0,0
s0739,48951,49316
s0110,0,0
s1303,193212,0
s0738,0,0
s0952,0,0
s0491,0,0
s0731,36715,33660
s0815,90649,102778
s0494,40690,39547
s0098,40032,38327
s0362,65334,65976
s0188,42095,42702
s1167,0,0
s1294,34046,34313
s0847,0,0
s1339,33199,33059
s0646,73913,64028
s0591,5024,108
s0048,0,0
s0930,0,0
s0286,0,0
s0320,54785,50782
s0965,34770,37000
s1077,0,0
s1363,16640,11915
s0338,0,0
s0450,45387,40640
s0855,0,0
s0112,0,0
s0115,0,0
s0557,0,0
s0509,53174,59092
s0423,74439,74055
s0685,178589,172306
s1041,51800,95379
s0174,32886,31186
s0762,56339,52854
s1191,0,0
s0406,58176,53476
s1146,0,0
s1335,0,0
s1385,27205,23208
s1045,56725,53968
s0401,41014,40435
s0245,0,0
s1053,101973,0
s0866,0,0
s0175,0,0
s0386,0,0
s0653,0,0
s1153,0,0
s0250,55464,55751
s0785,0,0
s0787,0,0
s0593,36527,39687
s0627,0,0
s1192,0,0
s0585,41247,44084
s1301,89101,88073
s0764,52012,59478
s1206,10285,9353
s1310,43765,42390
s0686,52572,48350
s0597,0,0
s0035,0,0
s0135,0,0
s0789,0,0
s0899,54318,57418
s0292,0,0
s0408,53697,54425
s1270,0,0
s0687,40538,39641
s1123,0,0
s0642,0,0
s0077,48256,51566
s0604,0,0
s1102,0,0
s0106,0,0
s1273,58182,55409
s1352,0,0
s1170,138093,0
s1292,0,0
s0237,0,0
s0199,0,0
s0128,0,0
s1051,0,0
s0885,53241,53600
s1290,0,0
s1218,0,0
s0277,0,0
s0197,0,0
s1345,0,0
s0551,32112,31492
s0726,35777,41229
s0307,32506,32034
s1364,50542,54257
s0581,40769,40093
s0182,48908,51870
s0291,25046,26729
s1297,54854,54475
s0352,0,0
s1151,114143,118816
s0552,0,0
s0873,41881,36582
s0114,0,0
s0729,0,0
s0683,69384,67522
s1071,0,0
s0344,44209,41536
s0233,0,0
s0076,50452,47987
s0413,0,0
s0000,64439,74245
s0036,0,0
s0688,0,0
s0370,54414,55127
s0567,0,0
s0751,61202,59812
s0983,53091,49815
s1161,0,0
s1086,59595,55713
s0955,0,0
s0059,40709,37861
s0504,0,0
s0834,0,0
s1061,31960,31646
s0256,0,0
s0497,0,0
s1173,0,0
s0153,27701,25321
s1154,0,0
s0693,0,0
s0466,0,0
s1304,0,0
s1028,0,0
s0993,0,0
s0215,0,0
s1104,229389,207239
s1242,0,0
s0880,59767,56787
s0053,60719,52911
s0617,51195,48742
s0385,48649,51789
s0347,0,0
s1145,37710,44532
s1134,0,0
s1378,62820,63260
s0615,0,0
s1110,0,0
s0649,36122,35271
s0881,0,0
s1002,0,0
s0331,0,0
s0638,0,0
s0781,0,0
s0484,48603,48211
s0770,0,0
s0229,44649,46026
s1164,0,0
s0870,0,0
s1107,0,0
s0798,0,0
s1296,0,0
s0493,0,0
s0383,35895,39936
s1331,43585,37966
s0996,0,0
s1187,51195,51376
s1026,0,0
s1000,83261,77424
s0772,63827,66697
s0986,50369,51139
s1047,0,0
s0743,0,0
s0378,0,0
s0730,39418,37510
s0371,0,0
s0924,44630,37922
s0234,0,0
s1222,0,0
s1037,37589,38410
s0957,46850,47943
s0851,0,0
s1152,3457,3659
s1178,29039,28685
s0867,0,0
s0024,70399,73577
s0301,74267,66125
s0325,41724,41979
s1388,11250,12467
s0324,28062,27175
s1244,58090,57420
s0407,3,0
s0747,0,0
s0521,0,0
s0935,0,0
s0783,192505,0
s0539,0,0
s0263,0,0
s0468,207268,203823
s0191,0,0
s0721,28190,28603
s0780,0,0
s0469,0,0
s1399,57011,50835
s0550,63624,62420
s0800,0,0
s0460,0,0
s1136,40662,41128
s0361,201870,201656
s0931,56577,54989
s0381,48217,46950
s0587,54676,53237
s1009,52035,55488
s0793,0,0
s0123,1,0
s0275,98,0
s0698,0,0
s0824,0,0
s0158,29213,21891
s1013,1,0
s0412,0,0
s0809,0,0
s0792,0,0
s0877,0,0
s0503,0,0
s1274,0,0
s0132,0,0
s0561,43416,41204
s0476,50231,49327
s0849,0,0
s0950,45672,41729
s1203,0,0
s0475,60178,51185
s0358,69786,83155
s0916,58107,60040
s0366,27906,30722
s0951,62749,73295
s0660,0,0
s0294,0,0
s1105,37625,36395
s0626,31315,31207
s1038,42527,44492
s1269,0,0
s1135,58464,62520
s0242,29246,30800
s0579,0,0
s0054,33058,32345
s0995,0,0
s0282,0,0
s1033,0,0
s0790,13386,13762
s0430,0,0
s0281,0,0
s1121,115272,118747
s0992,34440,35283
s0974,0,0
s0857,0,0
s0991,26306,38380
s0623,68237,64455
s0635,38123,40125
s0417,0,0
s0002,0,0
s0716,0,0
s0735,13,0
s0438,0,0
s0109,39747,44371
s0162,0,0
s0505,64385,61658
s0853,0,0
s0584,43464,43666
s1029,2095,3737
s0811,0,0
s0868,0,0
s0546,67006,66594
s1271,0,0
s1010,0,0
s0244,58878,58202
s0422,0,0
s0082,40412,40180
s0201,6896,34884
s0741,0,0
s1197,0,0
s0756,0,0
s1212,38957,32829
s1341,0,0
s0419,49134,47919
s0471,0,0
s0075,47935,41886
s1099,31651,34983
s1007,0,0
s0043,0,0
s0179,32145,33277
s0045,54119,53069
s0467,49828,47514
s1283,36252,36357
s1066,0,0
s1390,78747,79511
s0909,0,0
s0588,0,0
s0668,26553,24991
s1209,58413,63383
s0666,34912,41201
s1311,0,0
s0455,0,0
s0933,49806,50707
s0140,0,0
s0006,32828,33595
s1300,0,0
s0708,28327,28382
s0044,0,0
s0308,58348,55922
s1384,0,0
s0444,0,0
s0152,0,0
s0654,0,0
s1114,0,0
s1059,0,0
s0283,0,0
s0485,0,0
s1090,62717,63622
s0976,0,0
s0526,0,0
s0928,46488,45745
s0442,60572,60784
s1140,0,0
s1387,70305,70404
s0119,63285,62564
s0218,36487,35562
s0463,0,0
s0104,51535,50978
s1374,58894,64904
s0622,0,0
s0394,0,0
s1189,42,0
s1111,56858,56360
s1205,0,0
s0357,0,0
s0058,46475,0
s0446,46056,45915
s1119,0,0
s1354,0,0
s0542,52214,52403
s0066,31968,26032
s1369,23305,19649
s0999,0,0
s1353,0,0
s0120,62064,59967
s1255,0,0
s1089,59719,59994
s0159,0,0
s1175,0,0
s0299,0,0
s0426,43264,44055
s1048,0,0
s1298,0,0
s0103,0,0
s1309,50452,57854
s1129,0,0
s0939,64971,63121
s1120,47126,46594
s0013,56648,54024
s0843,0,0
s0598,0,0
s0559,0,0
s1138,0,0
s0796,52328,52755
s0997,0,0
s0009,2047,97
s0341,62687,64075
s1405,51325,50661
s1171,0,0
s0629,46810,49111
s0694,36532,34542
s1094,0,0
s0452,1,0
s0100,0,0
s0826,0,0
s0876,0,0
s0651,0,0
s0748,0,0
s0732,0,0
s1141,55699,52433
s0704,0,0
s0940,52277,54395
s1172,0,0
s0364,0,0
s0889,0,0
s0498,0,0
s0213,0,0
s0975,0,0
s1246,0,0
s0605,0,0
s0946,0,0
s0445,0,0
s0231,0,0
s0080,0,0
s1251,198579,203643
s0300,55541,50538
s0782,0,0
s0989,0,0
s1365,38769,43550
s1168,0,0
s1072,0,0
s0802,0,0
s1085,57173,57695
s0078,47512,47237
s1023,0,0
s0421,0,0
s1373,49390,51704
s0081,0,0
s0042,57926,57500
s0306,13382,30480
s0052,59977,60953
s0088,0,0
s0670,45462,40493
s1247,42403,41113
s0988,70505,53948
s0040,39493,36571
s0984,0,0
s0535,0,0
s0912,65380,65772
s1234,59401,51278
s0513,48428,49508
s0720,46370,47028
s0637,52783,50923
s0586,25888,22985
s0288,0,0
s0813,0,0
s1040,0,0
s0640,0,0
s0760,44713,46230
s1338,0,0
s0769,0,0
s0221,0,0
s0556,0,0
s0795,0,0
s1318,0,0
s0718,0,0
s0754,67145,65852
s1355,33380,31637
s0290,0,0
s1330,0,0
s0420,0,0
s0440,33046,32726
s1057,57289,54761
s1109,0,0
s1314,12573,14253
s1062,54320,60746
s0483,43340,49827
s0143,50002,47919
s0563,0,0
s0662,48303,50951
s0767,0,0
s0977,0,0
s0204,46548,47430
s0923,37334,36884
s0528,0,0
s1124,45551,43818
s0613,53221,48616
s0937,215798,213865
s0753,0,0
s0196,27286,23830
s0039,0,0
s1245,0,0
s0749,51807,48959
s0449,0,0
s1101,0,0
s0736,0,0
s0295,0,0
s0818,47112,49098
s1185,0,0
s0171,44608,43509
s0431,0,0
s0590,0,0
s0478,0,0
s1288,0,0
s0287,188487,183249
s0437,0,0
s0090,31241,32008
s0130,0,0
s0797,43938,47129
s0161,60077,53549
s1358,40499,39910
s0257,41360,42266
s0896,29048,28188
s0915,48528,50081
s0907,83289,75118
s1177,0,0
s1199,0,0
s1022,70867,72752
s0335,0,0
s0506,47575,58236
s0418,39040,40069
s1262,168,0
s0071,0,0
s0101,0,0
s1169,0,0
s0575,0,0
s1386,68224,64608
s0359,0,0
s0525,0,0
s0232,14271,44025
s0289,0,0
s1293,41577,43115
s0230,0,0
s0502,49904,47860
s0332,53707,40982
s0657,65570,66980
s0858,0,0
s0833,0,0
s0211,0,0
s0178,51262,48849
s1333,0,0
s0189,44910,45129
s0458,16742,42534
s1130,55436,56237
s1137,82384,74470
s0507,57611,56300
s1127,32378,26152
s0700,0,0
s0368,0,0
s0010,43973,43115
s0459,0,0
s0356,0,0
s0695,0,0
s1371,100831,92945
s0193,34973,34755
s0243,49691,44903
s0223,0,0
s1063,0,0
s0315,0,0
s0181,0,0
s0393,2,0
s0373,0,0
s1279,4760,0
s1195,0,0
s0616,59610,56914
s0481,0,0
s1113,0,0
s0978,47,0
s1278,0,0
s0980,0,0
s0897,0,0
s1216,37885,36109
s0987,0,0
s0252,29609,30128
s0895,27335,27886
s0068,4266,1507
s1295,0,0
s1131,34782,37309
s1357,76342,88739
s1162,0,0
s0096,57145,53083
s0954,0,0
s0516,53804,52447
s0165,0,0
s0837,83558,0
s0424,0,0
s0684,0,0
s1183,53443,51772
s0428,38452,41686
s0641,0,0
s1060,0,0
s0133,61910,63697
s0953,0,0
s0737,36512,38961
s0131,26618,23866
s0086,55437,48756
s1362,28,0
s0565,0,0
s0648,46409,46460
s0151,48233,48014
s1147,0,0
s1150,0,0
s1083,0,0
s1025,0,0
s1346,0,0
s0531,2,0
s0305,0,0
s0614,45453,42922
s0187,0,0
s0482,0,0
s0949,0,0
s0794,49555,51319
s1155,0,0
s0519,47578,45239
s0707,76762,73480
s0328,38861,37448
s0258,0,0
s1389,0,0
s0517,0,0
s0829,0,0
s0235,20531,17942
s0388,0,0
s0723,35314,37199
s0340,0,0
s0160,0,0
s0167,0,0
s1277,0,0
s0012,42512,41466
s0537,0,0
s0405,0,0
s1248,7042,0
s0717,0,0
s0107,49211,48619
s1340,39295,37350
s0169,0,0
s0696,0,0
s0573,58589,61532
s0321,33705,32667
s0960,0,0
s0675,0,0
s0875,0,0
s0679,0,0
s0848,0,0
s0345,66634,59663
s0170,0,0
s1307,61555,64608
s1264,0,0
s0577,47775,48035
s0501,0,0
s0862,56982,61212
s0367,0,0
s0336,0,0
s1275,0,0
s0913,48299,48761
s0608,0,0
s0254,0,0
s1017,0,0
s0261,32087,31885
s0918,49021,58513
s0260,42641,41461
s0271,4,0
s1144,0,0
s1133,0,0
s1084,0,0
s1097,0,0
s1272,0,0
s0710,0,0
s1348,58240,58709
s0839,0,0
s1319,37154,45591
s0927,0,0
s0544,0,0
s0658,0,0
s1210,53980,52649
s0210,44027,44535
s0285,53,0
s0500,55770,53881
s0222,0,0
s0816,0,0
s0633,112140,0
s0835,34538,37083
s0236,43842,41144
s1103,203723,202481
s1008,36414,39291
s0981,64560,63037
s0944,85493,87968
s0248,36030,36829
s0454,65772,69247
s0672,0,0
s0523,0,0
s0690,42191,42986
s0403,42413,43269
s0864,33394,31496
s1325,0,0
s0265,0,0
s0661,40292,38522
s0369,46448,45879
s0462,3581,4104
s1042,0,0
s1367,536,0
s1132,0,0
s0465,0,0
s1018,243,0
s0812,87,0
s0278,0,0
s0453,0,0
s0304,11446,21396
s1163,0,0
s0264,0,0
s0514,0,0
s0014,40412,38898
s0183,65556,65492
s0705,56616,50413
s1287,58482,57221
s0216,27067,24048
s0389,0,0
s1112,0,0
s0566,62982,59637
s1194,0,0
s0582,0,0
s0091,60479,62757
s0624,45445,47523
s1159,6303,6088
s0706,0,0
s0168,37195,35509
s0377,0,0
s0241,2,0
s0625,38460,34736
s0733,50945,52785
s1326,57766,55361
s0574,61763,63361
s1336,49989,50675
s0644,34038,36239
s1382,7099,61286
s1285,0,0
s0665,0,0
s0021,0,0
s0138,2,0
s0759,0,0
s1005,59547,61379
s0028,30587,29425
s1370,0,0
s0580,0,0
s1308,0,0
s0192,36566,35150
s0129,0,0
s0692,52441,51202
s0070,0,0
s0715,0,0
s0541,52293,52207
s1179,0,0
s1082,0,0
s0529,36083,38070
s0765,27912,30248
s0904,55057,53270
s0860,53225,47872
s0262,0,0
s0034,53731,52450
s0004,41020,39122
s0611,55290,53671
s0652,0,0
s1096,8,0
s1260,0,0
s0728,35135,33369
s0819,3146,42900
s0941,0,0
s0603,61802,62466
s0374,0,0
s0380,0,0
s0691,0,0
s0545,0,0
s0363,0,0
s0619,1643,6160
s1379,60683,59077
s1312,0,0
s0515,0,0
s0391,0,0
s0480,55621,57914
s1401,33425,32332
s0395,0,0
s0518,0,0
s1258,0,0
s1391,57290,56474
s0313,0,0
s1149,52522,44630
s1231,0,0
s1334,44854,75500
s0416,53758,52859
s1286,0,0
s0632,0,0
s0914,0,0
s0807,58068,60309
s0488,0,0
s0136,0,0
s0508,0,0
s0740,0,3
s0592,38457,38947
s0522,0,0
s1098,146455,148846
s0673,58905,71797
s1404,40822,37059
s1276,34329,34696
s0863,48767,49437
s1125,75083,75289
s1327,0,0
s0655,0,0
s1165,0,0
s0934,0,0
s0919,37449,37470
s0298,29354,33830
s1015,0,0
s1321,1324,1283
s0786,0,0
s0840,0,0
s0108,53062,53407
s0375,49229,48085
s0326,0,0
s0217,0,0
s1237,0,0
s1315,0,0
s0376,0,0
s0628,45685,41927
s0011,45876,48088
s0680,62020,59804
s0766,0,0
s1343,0,0
s0714,0,0
s1230,48682,61288
s1032,0,0
s0038,44182,41073
s0643,0,0
s0820,0,0
s1361,76613,80741
s0836,43778,48521
s0145,60840,61098
s0089,33121,34357
s1299,0,0
s0046,0,0
s0555,0,0
s1069,49549,47133
s0973,0,0
s0084,0,0
s0618,0,0
s1106,0,0
s0226,0,0
s0429,34668,34114
s0699,37281,37208
s0814,0,0
s0073,37036,36334
s0844,0,0
s0411,0,0
s0970,0,0
s0947,46269,46386
s0319,66506,65373
s0239,38685,33461
s1052,0,0
s0910,4,0
s0936,0,0
s1239,0,0
s0184,0,0
s1256,57931,58833
s0712,44071,44617
s1329,0,0
s0246,0,0
s0141,38916,38929
s1323,0,0
s0342,48944,47753
s1088,1945,0
s0253,0,0
s0208,0,0
s0776,56711,56815
s1328,0,0
s0343,0,0
s0146,0,0
s0520,0,0
s0892,0,0
s0349,0,0
s0474,0,0
s1100,0,0
s1280,0,0
s0702,62428,65357
s1142,0,0
s0771,0,0
s0149,0,0
s0399,35394,34977
s0938,0,0
